Brand,Region,Month,Forecasted_TRx
ALPHATUMAB,Mid-Atlantic,24,10616.569346229953
ALPHATUMAB,Mid-Atlantic,25,11374.813248153081
ALPHATUMAB,Mid-Atlantic,26,11156.823131908024
ALPHATUMAB,Mid-Atlantic,27,11219.493851263644
ALPHATUMAB,Mid-Atlantic,28,11201.476433170543
ALPHATUMAB,Mid-Atlantic,29,11206.656321930068
ALPHATUMAB,Mid-Atlantic,30,11205.167138106814
ALPHATUMAB,Mid-Atlantic,31,11205.595268625131
ALPHATUMAB,Mid-Atlantic,32,11205.472183927424
ALPHATUMAB,Mid-Atlantic,33,11205.50756996547
ALPHATUMAB,Mid-Atlantic,34,11205.497396713134
ALPHATUMAB,Mid-Atlantic,35,11205.500321456022
ALPHATUMAB,Mid-Atlantic,36,11205.499480611748
ALPHATUMAB,Mid-Central,24,15221.779934150822
ALPHATUMAB,Mid-Central,25,14689.600952416231
ALPHATUMAB,Mid-Central,26,14509.921430034636
ALPHATUMAB,Mid-Central,27,14449.25625558891
ALPHATUMAB,Mid-Central,28,14428.773880403638
ALPHATUMAB,Mid-Central,29,14421.858418657037
ALPHATUMAB,Mid-Central,30,14419.52355218105
ALPHATUMAB,Mid-Central,31,14418.735231507688
ALPHATUMAB,Mid-Central,32,14418.469070898316
ALPHATUMAB,Mid-Central,33,14418.379207125394
ALPHATUMAB,Mid-Central,34,14418.348866431093
ALPHATUMAB,Mid-Central,35,14418.338622506308
ALPHATUMAB,Mid-Central,36,14418.335163851278
ALPHATUMAB,Midwest,24,12627.212828099826
ALPHATUMAB,Midwest,25,12704.600221624272
ALPHATUMAB,Midwest,26,12714.798923679005
ALPHATUMAB,Midwest,27,12716.142986566567
ALPHATUMAB,Midwest,28,12716.320117444204
ALPHATUMAB,Midwest,29,12716.34346110476
ALPHATUMAB,Midwest,30,12716.346537510723
ALPHATUMAB,Midwest,31,12716.346942943008
ALPHATUMAB,Midwest,32,12716.346996373972
ALPHATUMAB,Midwest,33,12716.347003415513
ALPHATUMAB,Midwest,34,12716.3470043435
ALPHATUMAB,Midwest,35,12716.347004465797
ALPHATUMAB,Midwest,36,12716.347004481915
ALPHATUMAB,Northeast,24,12642.469974722606
ALPHATUMAB,Northeast,25,12807.216263729693
ALPHATUMAB,Northeast,26,12780.304482165093
ALPHATUMAB,Northeast,27,12784.700599317992
ALPHATUMAB,Northeast,28,12783.982480899276
ALPHATUMAB,Northeast,29,12784.099787614581
ALPHATUMAB,Northeast,30,12784.080625224233
ALPHATUMAB,Northeast,31,12784.083755455975
ALPHATUMAB,Northeast,32,12784.083244123589
ALPHATUMAB,Northeast,33,12784.08332765121
ALPHATUMAB,Northeast,34,12784.083314006732
ALPHATUMAB,Northeast,35,12784.083316235598
ALPHATUMAB,Northeast,36,12784.083315871505
ALPHATUMAB,Southeast,24,11375.985631911346
ALPHATUMAB,Southeast,25,11480.081785822396
ALPHATUMAB,Southeast,26,11472.77010957121
ALPHATUMAB,Southeast,27,11473.283679070115
ALPHATUMAB,Southeast,28,11473.247606134013
ALPHATUMAB,Southeast,29,11473.250139884016
ALPHATUMAB,Southeast,30,11473.249961914331
ALPHATUMAB,Southeast,31,11473.249974414857
ALPHATUMAB,Southeast,32,11473.249973536824
ALPHATUMAB,Southeast,33,11473.249973598497
ALPHATUMAB,Southeast,34,11473.249973594166
ALPHATUMAB,Southeast,35,11473.24997359447
ALPHATUMAB,Southeast,36,11473.249973594448
ALPHATUMAB,Southwest,24,11896.463685500976
ALPHATUMAB,Southwest,25,11999.575673752153
ALPHATUMAB,Southwest,26,11978.206214254877
ALPHATUMAB,Southwest,27,11982.634931099064
ALPHATUMAB,Southwest,28,11981.717101011294
ALPHATUMAB,Southwest,29,11981.907316845734
ALPHATUMAB,Southwest,30,11981.867895536547
ALPHATUMAB,Southwest,31,11981.876065411692
ALPHATUMAB,Southwest,32,11981.87437224469
ALPHATUMAB,Southwest,33,11981.87472314534
ALPHATUMAB,Southwest,34,11981.874650422882
ALPHATUMAB,Southwest,35,11981.874665494259
ALPHATUMAB,Southwest,36,11981.874662370788
ALPHATUMAB,West,24,14832.565648755595
